path	family	owner	develop_authority	next_contract	resolution	tests	depends_on	reviewer	status
src/main/java/com/openggf/GameLoop.java	runtime-loop	top-level mode/frame coordinator	Live S2SS slowdown, trace-free pacing, data-select and special-stage launch order from c83b3f794, a69c257a2, 16865265a, dccea9ed0	Typed reward requests/HPZ origin, mod notice, time attack/multiplayer, observation pacing from 257a880f1, eb13f76d7, 4a6b7dc00	Preserve next modes/features but splice ROM frame ordering into matching branches; typed request retains armed-next-frame and level-advance edge; production fade/audio/hardware owners remain authoritative	TestGameLoop,TestGameLoopSpecialStageEntryRequest,Sonic2SpecialStageBootstrapCadenceTest,TestSonic2SpecialStageRewindSnapshot,TestTimeAttackRuntime,TestMultiplayerRaceCoordinator,TestGameLoopAudioPresentationModes	LevelTransitionCoordinator,LevelManager,SpriteManager,AudioManager	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/camera/Camera.java	camera	camera lifecycle/rewind	Live bottom clamp/wrap, setX/setY render-copy publication, obsolete deferred-maxY removal from 2bb652022, 06d94a6d7, a283f275d	ModApi; screen-event copy words/current-boundary setters, forced-coordinate scroll, custom max-X claim used by next callers including 75758d198	Retain public/caller-required copy/current-boundary/custom-easing and forced synthetic-record behavior; incorporate clamp/wrap and publication; omit setMaxYAfterNextUpdate only if caller scan stays empty; align snapshot	TestCamera,TestCameraForcedScroll,TestCameraRewindSnapshot,TestModApiSignatureSurface	Level events,CameraSnapshot	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/game/AbstractLevelEventManager.java	event-boundary	level-event base	cameraOrNull() and gameService() guard-compliant seams from ccaf39512	Ordered main-then-sidekicks playerQuery() from 1c8bb0e60	Retain all three protected helpers; playerQuery uses boundary-approved camera/sprite access and subclasses avoid direct singleton lookup	TestZoneEventRuntimeAccessGuard,TestLevelEventRewindSnapshot,TestPoweredScreenAttack	ObjectPlayerQuery	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/game/rules/PowerUpRules.java	game-rules	typed game-wide rule owner	ROM-cited water-splash/super-star fixed SST slots and speed-shoes final movement frame from ca67b11a9, 9f0380787, 2a9feefe9	Public ModApi record from 448355a5b	Retain expanded components/docs and ModApi; update every stock/mod constructor positionally; no game-name carve-outs	TestPerGameRuleArchitectureGuard,TestModApiSignatureSurface	GameRules constructors and mod providers	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/level/BigRingReturnState.java	transition-state	Save_Level_Data2 semantic snapshot	Elemental shield semantics, ROM timer phase, camera-max-before-update from 3d4247c7b and 641467596	ModApi superset with extra-life/status/apparent-zone/full-screen/origin/checkpoint/star-post from 1b65b0769 and eb13f76d7	Preserve next public shape and extra state but apply savedSeconds*60-1 timer phase, camera ordering, semantic shield restore; avoid duplicate timer/shield authorities; keep explicit checkpoint restore	TestS3kAiz1SpecialStageReturn,TestS3kSpecialStageReturnWaterRestore,TestBonusStageShieldRestore,TestGameLoopSpecialStageEntryRequest,TestModApiSignatureSurface	LevelTransitionCoordinator,PersistentRespawnState	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/level/LevelData.java	level-identity	stock ROM level table	Correct 24-zone/two-act S3K table and start coordinates including $1601 HPZ/$1701 arena from d0adf796b	LevelDescriptor seam and sanctuary caller identity from 33dc7b981 and 82b096603	Use develop table values/names and implement LevelDescriptor; adapt sanctuary callers to S3K_SPECIAL_STAGE_ARENA/HPZ instead of inaccurate alias unless API guard requires deprecated compatibility	TestSonic3kLevelLoading,TestSonic3kNonlinearHpzProfile,TestS3kHpzSanctuaryHeadless,TestModApiSignatureSurface	Sanctuary caller adaptations	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/level/LevelTransitionCoordinator.java	transition-state-machine	request/saved-transition state	Armed-entry next-frame plus specialStageEntryAdvancesLevel, persistent respawn/ring and last-star-post from 641467596, 6444837e7, 6c8b6c208	Typed SpecialStageEntryRequest, sanctuary origin/context, synchronous screen event, time-attack return from 82b096603, 4a6b7dc00, eb13f76d7	Union fields/APIs; typed armed request preserves one-frame delay and one-shot level-advance; save/clear BigRing and respawn atomically; reset every flag	TestLevelTransitionCoordinator,TestLevelTransitionCoordinatorPeeks,TestBonusStageTransitionCoordinator,TestGameLoopSpecialStageEntryRequest,TestS3kHpzGraphRewind	BigRingReturnState,PersistentRespawnState	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/level/objects/PersistentRespawnState.java	transition-value	Respawn_table_keep snapshot	Four-table remembered/stay-active/destroyed-in-window/ring-status model from 641467596, 72a707014, 6444837e7	ModApi and defensive cloning from 75aa6a45c and f482ce086	Use four-array record with legacy constructors and withRingStatusBits; annotate ModApi; clone every array on construction and access	TestPersistentRespawnDestroyLatchRoundTrip,TestObjectManagerLifecycle,TestLevelManager,TestModApiSignatureSurface	none	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/level/LevelManager.java	level-orchestrator	load/transition/runtime assembly	In-frame rewind clamp, omitted-title art, respawn/ring preservation, sidekick collision path from 33d6ea73e, 394655ea1, 6444837e7, 38e50f87a	LevelDescriptor/mod runtime, progression, sanctuary, time attack, synchronous/seamless carry, transition SST, custom art/palette from 33dc7b981, 82b096603, 4a6b7dc00, eb13f76d7	Retain extensible pipeline; integrate fixes at lifecycle points: pre-placement respawn restore, leader path, title-art ownership, rewind boundary; no singleton/data-source shortcuts	TestLevelSeamlessTransitionExecutor,TestLevelManagerDeferredResourceLoading,TestActTransitionHeadless,TestTraceSessionLauncherRewindPresentation,TestS3kAiz1SpecialStageReturn,TestS3kSidekickIntroPresentationGate,TestModApiSignatureSurface	Camera,BigRingReturnState,LevelData,LevelTransitionCoordinator,PersistentRespawnState,ObjectManager,RingManager,SpriteManager,AudioManager	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/level/objects/ObjectManager.java	object-runtime	SST execution/lifetime owner	V-int counter, ObjectLoopSlotBudget, CPZ counter clobber, slot retirement, standing/pushing expiry, AIZ layering from 3c677fbd6, d9aa72b7b, 104223d83, 0579adc14, 70902abec	ModApi, callback fault boundary/router, configurable slot/retirement/population/rewind, transition SST and powered behavior from 75aa6a45c, 75758d198, eb13f76d7	Preserve public extensions/collaborators; incorporate exact loop-budget/vbla and release ordering inside them; route mod callbacks through fault boundary; no double retirement or second clock	TestObjectManagerLifecycle,TestObjectManagerRewindSnapshot,TestCPZObjectBugs,TestAiz2BossEndSequenceObjects,TestArchitecturalSourceGuard,TestModApiSignatureSurface	ObjectSolidContactController,ObjectTouchResponseController,PersistentRespawnState,SpriteManager	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/level/objects/ObjectSolidContactController.java	collision	solid-contact/latch owner	Solid_SideAir release, unconditional push-bit clear, per-slot standing/pushing expiry from e66f90801, e50418388, 104223d83, 0579adc14	Batched multi-player/sloped resolver, callback fault isolation, Mod API 2.5 extensions from 75aa6a45c	Keep aggregate multi-player architecture and callback routing, then apply ROM release tail once per player/object slot; expire owner keys on slot replacement, not object equality	TestObjectSolidContactController,TestScriptedVelocityAnimationProfile,TestAutomaticTunnelObjectInstance,TestArchitecturalSourceGuard,TestModApiSignatureSurface	ObjectManager callback and slot APIs	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/level/objects/ObjectTouchResponseController.java	collision	touch scan/reaction owner	MonkeyDude facing anchor and object-owned kill/bounce/push-release timing from 1f37ab726, b31069c3f, 0579adc14	Callback routing, ordered player query, powered screen attack and shield/special reactions from 4a6b7dc00 and 75758d198	Retain feature/category scan and callback isolation; integrate per-frame ENEMY/anchor/release behavior without consumed-once latches; snapshot slot identities before mutating callbacks	TestTouchResponseManager,TestObjectTouchResponseRewindCapture,TestPoweredScreenAttack,TestMonkeyDudeBadnikInstance,TestArchitecturalSourceGuard	ObjectManager,ObjectSolidContactController	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/level/rings/LostRingObjectInstance.java	rings	spilled-ring SST owner	S3K ring priority and bucket from a37a4a55d	Centralized foreground/background provider, native spill phase, deferred first physics, render Y margin from bee93dd9b and f4915d03e	Use next collision/phase/lifecycle and add isHighPriority plus bucket 3; do not restore duplicated background-plane coordinate math	TestLostRingObjectInstance,TestFbzRingBackgroundCollision,TestLostRingTouchOrdering,TestS3kIczZoneSliceTraceReplay	RingRules,ObjectServices,RingManager	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/level/rings/RingManager.java	rings	stage/lost/attracted ring owner	Capture/restore ROM Ring_status_table under Respawn_table_keep from 6444837e7 and 576b4c177	Refactored placement/renderer/lost pool, object-slot allocation, rewindable attracted rings/native dispatch from beb7b64c1, 4652da553, 15accb4f4	Retain next architecture and add capture/restore against collected BitSet; restore before placement reset, clone input, preserve sparkle/active-index invariants	TestRingManagerRewindSnapshot,TestRingManagerActiveIndices,TestStageRingsTouchCollectionRule,TestPersistentRespawnDestroyLatchRoundTrip	PersistentRespawnState,LevelManager,LostRingObjectInstance	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/sprites/animation/SpriteAnimationScript.java	animation-value	parsed ROM animation script	Unchecked flat read via captured trailing bytes from ffffd8bc8	Public ModApi annotation from 448355a5b	Use five-component record, four-arg compatibility constructor, flatByteAt, and ModApi; parsers populate trailing window while synthesized scripts default empty	TestAnimationTranslator,TestPlayableSpriteAnimation,TestModApiSignatureSurface	Animation parsers and callers	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/sprites/managers/PlayableSpriteMovement.java	movement	player movement dispatch	S2 spindash rev, S1 hurt-stop walk, load angle reset, landing/spindash ownership, push status from a15673010, 4220319f2, 5b57e349d, 678c6a93f, 3e093d6be	Injected service/callback boundaries, gameplay-team/mod behavior, Hyper abilities and sanctuary flow from 75758d198, 1b65b0769, eb13f76d7	Retain next feature/service structure; port ROM fixes into matching mode phases with exact pre/post movement and audio order; no trace/zone carve-outs	TestPlayableSpriteMovement,TestPlayableSpriteAnimation,TestSonic2SpindashRevRequest,TestDeathRestartRoutineParity,TestSonic3kSuperTransformationEligibility,TestPlayableRuntimeAccessGuard	PowerUpRules,Camera,ObjectSolidContactController,AudioManager	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/sprites/managers/SpriteManager.java	sprite-runtime	playable/fixed-slot/input/render dispatch	Object-loop-gated fixed slots, main-Tails ownership, pre-move Super check, intro suppression, hurt display latch from d9aa72b7b, f19994467, 1991e33ba, ec4bbf395	Chord Super/Hyper/Super-Emerald debug, session input filter, callback router, Mod API and post-object seams from 4a9f02b6c, 3221df3f0, 75aa6a45c	Preserve filtered-input publication/chords/callback safety/public seams; integrate exact fixed-slot gate/order, main Tails, transform phase, presentation latches; filter once per logical sample	TestSpriteManagerGameplayInputFilter,TestSpriteManagerMainTailsTailsDispatch,TestInitialPlayableProcessSpritesPass,TestS3kSidekickIntroPresentationGate,TestSpriteManagerDebugEmeraldGrant,TestModApiSignatureSurface	ObjectManager,PlayableSpriteMovement	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/trace/replay/runs/TraceRunPresentationClosure.java	trace-runtime	bounded-run presentation closure	Fade through GameRuntimeContext.updateFade from ccaf39512	Caller-injected Runnable fadeUpdate from next merge lineage	Retain three-argument API and null validation; production callers pass context::updateFade, never context.getFadeManager()::update; preserve hardware/PLC closure ordering	AbstractRunChainTest,TestZoneEventRuntimeAccessGuard,TestArchitecturalSourceGuard	GameLoop caller	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/game/sonic1/events/Sonic1FixedTitleCardManager.java	S1 title-card PLC	Sonic1LevelEventManager composition	Constructor-injected Sonic1PlcService supplier avoids static runtime lookup (ccaf39512).	Current zone/event service routing retained through next merge 276ee9a7d.	Keep develop constructor injection; pass () -> gameService(Sonic1PlcService.class); do not restore GameServices.module lookup.	TestSonic1PlcProducerCoverage; TestTitleCardObjectExecution	Sonic1LevelEventManager; Sonic1PlcService	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/game/sonic1/events/Sonic1LevelEventManager.java	S1 level events	Sonic1LevelEventManager	Instance-owned cameraOrNull/gameService access and injected title-card PLC supplier (ccaf39512).	Focused-player pit-death authority and team transition locking (1775c8e47; 7524de70c; b9a1e357a).	Use develop service access/construction while retaining focused-sprite check and Sonic1ZoneEvents.lockPlayersForTransition(progressionOwner).	TestSonic1EndingMultiSidekick; TestSonic1Sbz3TransitionAuthority; TestSonic1LevelEventRewindSnapshot	AbstractLevelEventManager; Sonic1FixedTitleCardManager; Sonic1ZoneEvents	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/game/sonic2/Sonic2Level.java	S2 level resources	Sonic2Level	Exact decompressed zoneTileArtByteSize including overlay final KosDec for ROM $1000 upload cadence (8695c029e).	ModLevel/in-memory construction and additive registry loading (b0948d772; 052643e18; c6b94867b).	Retain next builders/decoders; publish develop byte size on every ROM/overlay path and derive in-memory size from supplied pattern payload.	TestSonic2LevelInMemoryConstruction; TestSonic2VisibleTitleReleasePlcOrdering	Sonic2 TitleCardManager; ModLevel; level loaders	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/game/sonic2/objects/BridgeObjectInstance.java	S2 Obj11 bridge	BridgeObjectInstance	ROM width $80, real segment SST children, slot order, unload and rewind relink (a4dc33cbb; 99c1e3c8c; 0083503ac).	Arbitrary-sidekick depression/balance state with identity-stable promotion (b3c754175).	Base on develop geometry/child graph; layer next participant policy and extension state without changing allocation order or rewind links.	TestS2BridgeMultiSidekick; bridge graph rewind tests	BridgeSegment; ObjectManager; rewind identity; player participation policy	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/game/sonic2/titlecard/TitleCardManager.java	S2 title-card timing	TitleCardManager	ROM compound PLC loop, lag gates, zone-art VBlanks, leave cadence and rewind tail (bf6c31dfc; 8695c029e; 6da1001f6; 549166da7; 23b675c9a; 34395e634; 17c200739).	Registry names and configurable mod-zone card suppression (2f3b0d016).	Use develop state machine as timing authority; integrate ZoneRegistry supplier, ZoneKey.Mod skip predicate and display name only at setup/presentation seams.	TestSonic2VisibleTitleReleasePlcOrdering; TestModZoneTitleCardPolicy; TestSonic2TitleCardManagerRewind	Sonic2Level.zoneTileArtByteSize; PLC; ZoneRegistry	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/game/sonic3k/Sonic3kGameModule.java	S3K module composition	Sonic3kGameModule	Session-owned Sonic3kGlobalAnimationState preserves AIZ_vine_angle across level reconstruction (c8ba735a5; ChangeRingFrame).	Mod-zone adapter, custom palette bridge, additive resources and placement encoding (7108f2478; 326831131; 3ffac6fd3).	Construct Sonic3k(rom, globalAnimationState) while retaining next adapter/resource APIs and active-game bridge; never reset global animation on level load.	TestGameModuleProviderLifetimes; TestS3kModZoneAdapter; AIZ vine tests	Sonic3k; Sonic3kModZoneAdapter; S3kCustomZonePaletteBridge	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/game/sonic3k/Sonic3kLevelEventManager.java	S3K central events	Sonic3kLevelEventManager	Intro sidekick suppression and corrected CNZ publication/next-dispatch worker cadence (ec4bbf395; ebf19c2e5).	FBZ runtime/rewind, HPZ screen event, powered forms, Big Arm, fixed MHZ object and complete-run restoration (82b096603; f4915d03e; 2dad85fc6).	Retain next expanded bridges; add primeSidekickIntroPresentation at init/bootstrap and preserve develop one-dispatch CNZ latch.	TestS3kSidekickIntroPresentationGate; TestSonic3kCnzRuntimeStateRegistration; FBZ lifecycle/rewind; LBZ Big Arm tests	ZoneRuntimeRegistry; title card; SidekickCpuController; FBZ/LBZ bridges	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/game/sonic3k/Sonic3kZoneFeatureProvider.java	S3K zone policy/render	Sonic3kZoneFeatureProvider	Explicit ROM title-card suppression for Current_zone_and_act $1701 arena restart (b902442f3; loc_62B6).	FBZ boss-plane renderer/features and nonlinear HPZ resource profile (82b096603; e3ee9235f).	Keep next render registration; suppress zone 23 act 1 explicitly via ZONE_DEZ_BOSS_SS_ARENA and retain profile suppression only for separate nonlinear resources.	TestSonic3kNonlinearHpzProfile; TestS3kAdvancedRenderModeRegistration; TestSonic3kZoneFeatureProvider	Sonic3kZoneIds; Sonic3kLevelResourceProfile; FbzBossPlaneRenderMode	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/game/sonic3k/Sonic3kZoneRegistry.java	S3K stock zone table	Sonic3kZoneRegistry	Exact ROM 24-row by two-act LevelPtrs/LevelSizes/LevelMusic_Playlist shape (d0adf796b).	LevelDescriptor seam and Super Emerald sanctuary resources (33dc7b981; 82b096603).	Use develop 24x2 table and music IDs with LevelDescriptor typing; retain zone 22 act 0 LRZ boss, act 1 HPZ, and zone 23 arena.	TestSonic3kLevelLoading; TestSonic3kNonlinearHpzProfile; mod-zone tests	Sonic3kZoneIds; LevelData; Sonic3kLevelResourceProfile	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/game/sonic3k/audio/smps/Sonic3kCoordFlagHandler.java	S3K SMPS interpreter	Sonic3kCoordFlagHandler	Immutable SmpsProgramView reads, loop/envelope access and temporary-track restoreMusic (7e8f4b68b; bb4b716a4; be1391ca8).	Syntax-only skip-width boundary for unsupported SND_CMD, MUS_PAUSE and COPY_MEM (c4b438bcf).	Keep develop SmpsProgramView implementation and restoreMusic; reapply next meta-command byte consumption without unsupported side effects.	TestSonic3kCoordFlagParity; TestAudioPresentationSnapshotParity; restore-music tests	CoordFlagContext; SmpsProgramView	conflict_ledger_independent_review	reviewed
src/main/java/com/openggf/game/sonic3k/constants/Sonic3kConstants.java	S3K ROM address catalogue	Sonic3kConstants	Verified Map_FBZDEZPlayerLauncher and Map_LRZCollapsingBridge addresses (68688a613; 2ce900644).	HPZ/Super Emerald, powered-form, FBZ and Big Arm/final-boss constants (82b096603; 1b65b0769; 75758d198; 2dad85fc6).	Take additive union, deduplicate launcher constant, prefer S&K-half addresses except documented direct S3-half references.	Focused art/PLC/HPZ/FBZ/Big Arm tests	Object art providers; PLC registries; zone objects	conflict_ledger_independent_review	reviewed
